modelAdi,referansNo,seri,mekanizma,Kadran,Cam,Kasa,Kayış,tarih,ozellikler,fotografUrl
Casio A158WA,A158WA-1DF,Vintage,Digital Quartz,Gri LCD,Akrilik,Krom Kaplama Reçine,Paslanmaz Çelik,21 Aralık 2013,Kronometre | LED | Alarm | Saatlik Sinyal | Otomatik Takvim | Su Direnci 30m | 7 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/A/A1/A15/A158WA-1/assets/A158WA-1.png
Casio F-91WPC Pac-Man,F-91WPC-1ADR,Vintage - Limited Edition,Digital Quartz,Gri LCD,Akrilik,Siyah Reçine,Siyah Silikon (Bio-Based),5 Ocak 2026,Kronometre | LED | Alarm | Saatlik Sinyal | Otomatik Takvim | Su Direnci 30m | 7 Yıl Pil | Pac-Man Özel Seri,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/F/F9/F91/f-91wpc-1a/assets/F-91WPC-1A.png
Casio A1000DN,A1000DN-7ER,Vintage - Premium,Digital Quartz,Gri LCD,Mineral,Paslanmaz Çelik,Paslanmaz Çelik,11 Ocak 2026,Kronometre | LED | Alarm | Saatlik Sinyal | Otomatik Takvim | Su Direnci 30m | 3 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/in/en/timepiece/product/watch/A/A1/A10/a1000dn-7/assets/A1000DN-7.png
Casio A1100D,A1100D-1DF,Vintage - Premium,Digital Quartz,Gri LCD,Mineral,Paslanmaz Çelik,Paslanmaz Çelik,29 Ekim 2025,Kronometre | LED Amber | Alarm | Saatlik Sinyal | Otomatik Takvim | Su Direnci 30m | 3 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/A/A1/a11/a1100d-1/assets/A1100D-1.png
Casio A1100B,A1100B-1DF,Vintage - Premium,Digital Quartz,Yeşil LCD,Mineral,Siyah Paslanmaz Çelik,Siyah Paslanmaz Çelik,19 Ocak 2026,Kronometre | LED Amber | Alarm | Saatlik Sinyal | Otomatik Takvim | Su Direnci 30m | 3 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/A/A1/a11/a1100b-1/assets/A1100B-1.png
Casio DBC-611,DBC-611-1DF,Vintage,Digital Quartz,Gri LCD,Akrilik,Gümüş Reçine,Paslanmaz Çelik,15 Aralık 2025,Telememo 25 | Kronometre | Dual Time | 5 Alarm | Auto LED | Çok Dilli Destek | 3 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/D/DB/DBC/DBC-611-1/assets/DBC-611-1.png
Casio CA-53W,CA-53W-1Z,Vintage,Digital Quartz,Gri LCD,Akrilik,Siyah Reçine,Siyah Silikon,19 Ocak 2026,Hesap Makinesi | Kronometre | Alarm | Saatlik Sinyal | Dual Time | Otomatik Takvim | Su Direnci 30m | 5 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/europe/en-gb/timepiece/product/watch/C/CA/CA5/CA-53W-1/assets/CA-53W-1.png
Casio AE-1200WHL,AE-1200WHL-5AVDF,Standart,Digital Quartz,Gri LCD,Akrilik,Bronz Reçine,Kahverengi Deri,5 Aralık 2025,Dünya Saati 31 Bölge | Kronometre | Geri Sayım Zamanlayıcı | 5 Alarm | Saatlik Sinyal | LED | Su Direnci 100m | 10 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/A/AE/AE1/ae-1200whl-5av/assets/AE-1200WHL-5AV.png
Casio GA-2100,GA-2100-1A1DR,G-Shock,Analog-Digital Quartz,Siyah Analog + Ters LCD,Mineral,Siyah Reçine - Carbon Core,Siyah Silikon,7 Aralık 2025,Analog-Digital | Şok Direnci | Su Direnci 200m | Dünya Saati | Kronometre | Geri Sayım Zamanlayıcı | 5 Alarm | Saatlik Sinyal | Çift LED,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/G/GA/GA2/GA-2100-1A1/assets/GA-2100-1A1_Seq01.png
Casio GBD-200,GBD-200-1DR,G-Shock,Digital Quartz,Ters MIP,Mineral,Siyah Reçine,Siyah Silikon,19 Aralık 2025,Bluetooth | Adım Sayar | Mesafe Takibi | Antrenman Takibi | Titreşim Alarmı | Şok Direnci | Su Direnci 200m | MIP Ekran | 2 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/G/GB/GBD/gbd-200-1/assets/GBD-200-1.png
Casio GBX-100,GBX-100-8DR,G-Shock,Digital Quartz,Ters MIP,Mineral,Gri Reçine,Gri Silikon,10 Mart 2026,Bluetooth | Sörf Metrikleri | Tide Graph | Ay Verisi | Gündoğumu/Batımı | Adım Sayar | Mesafe Takibi | Şok Direnci | Su Direnci 200m | MIP Ekran | 2 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/G/GB/GBX/gbx-100-8/assets/GBX-100-8.png
Casio GW-BX5600,GW-BX5600-1A1DR,G-Shock,Digital Solar,Ters MIP,Mineral,Siyah Reçine (Bio-Based),Siyah Silikon (Bio-Based),24 Aralık 2025,Bluetooth | Multiband 6 | Tough Solar | Dünya Saati | Kronometre | Geri Sayım Zamanlayıcı | Alarm | Saatlik Sinyal | MIP Ekran | Şok Direnci | Su Direnci 200m,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/G/GW/GWB/gw-bx5600-1a1/assets/GW-BX5600-1A1.png
Casio DW-6900RGM,DW-6900RGM-5DR,G-Shock,Digital Quartz,Gri LCD,Mineral,Kırık Beyaz Reçine (Bio-Based),Kırık Beyaz Silikon (Bio-Based),28 Ocak 2026,Triple Graph | Şok Direnci | Su Direnci 200m | EL Aydınlatma | Kronometre | Geri Sayım Zamanlayıcı | Çok Fonksiyonlu Alarm | Saatlik Sinyal | Flaş Alarm | Japonya Yapımı | 5 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/D/DW/DW6/dw-6900rgm-5/assets/DW-6900RGM-5.png
Casio GM-B2100D,GM-B2100D-1ADR,G-Shock,Analog-Digital Solar,Siyah Analog + Ters LCD,Safir,Paslanmaz Çelik,Paslanmaz Çelik,19 Aralık 2025,Bluetooth | Tough Solar | Dünya Saati | Şok Direnci | Su Direnci 200m | Full Metal,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/G/GM/gmb/gm-b2100d-1a/assets/GM-B2100D-1A.png
Casio GST-B1000D,GST-B1000D-2ADR,G-Shock,Analog Solar,Mavi Analog,Safir,Paslanmaz Çelik,Paslanmaz Çelik,23 Ocak 2026,Bluetooth | Tough Solar | Multiband 6 | Kronometre | Geri Sayım Zamanlayıcı | Alarm | Su Direnci 200m | Şok Direnci | Carbon Core Guard,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/G/GS/GST/gst-b1000d-2a/assets/GST-B1000D-2A.png
Casio EFS-S570D,EFS-S570D-3AUDF,Edifice,Analog Kronograf Solar,Yeşil Analog,Safir,Paslanmaz Çelik,Paslanmaz Çelik,11 Ocak 2026,Kronograf | Güneş Enerjisi | Su Direnci 100m | İnce Tasarım 9.7mm | Pil Seviye Göstergesi,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/E/EF/EFS/efs-s570d-3a/assets/EFS-S570D-3AU.png
Casio EFB-730D,EFB-730D-7AVUDF,Edifice,Analog Kronograf Quartz,Gümüş Analog,Safir,Paslanmaz Çelik,Paslanmaz Çelik,9 Mart 2026,Kronograf | Su Direnci 100m | Tarih | 1 Sn Kronometre | 3 Yıl Pil,https://www.casio.com/content/dam/casio/product-info/locales/tr/tr/timepiece/product/watch/E/EF/EFB/efb-730d-7av/assets/EFB-730D-7AV.png
Casio MDV-106,MDV-106-1AVDF,Duro,Analog Quartz,Siyah Analog,Mineral,Paslanmaz Çelik,Siyah Silikon,4 Şubat 2026,Dalgıç Saati | Su Direnci 200m | Luminescent | Unidirectional Bezel | Screw Lock Crown,https://www.casio.com/content/dam/casio/product-info/locales/ca/en/timepiece/product/watch/M/md/mdv/mdv-106-1av/assets/MDV-106-1AV.png
